relative_path,size_bytes,extension,classification,likely_role
Scanned from a Xerox Multifunction Device (5).pdf,321999,pdf,archive only,other archive material
Stata/2011.02.15.do,926,do,archive only,analysis code
Stata/Untitled.do,14301,do,archive only,analysis code
Stata/Ziegelmeyer - supplementary/10683_2011_9302_MOESM1_ESM.pdf,656087,pdf,archive only,other archive material
Stata/Ziegelmeyer - supplementary/10683_2011_9302_MOESM2_ESM.xls,416256,xls,archive only,data or experiment output
Stata/agent_regressions.doc,1493,doc,archive only,other archive material
Stata/agent_regressions.rtf,2893,rtf,archive only,other archive material
Stata/agent_regressions.txt,376,txt,archive only,other archive material
Stata/agent_regressions1.doc,2712,doc,archive only,other archive material
Stata/agent_regressions1.txt,1025,txt,archive only,other archive material
Stata/agent_regressions2.doc,3998,doc,archive only,other archive material
Stata/agent_regressions2.txt,1476,txt,archive only,other archive material
Stata/agent_regressions_gcos.doc,2384,doc,archive only,other archive material
Stata/agent_regressions_gcos.txt,789,txt,archive only,other archive material
Stata/agent_regressions_gcos_int.doc,2675,doc,archive only,other archive material
Stata/agent_regressions_gcos_int.txt,1055,txt,archive only,other archive material
Stata/agent_regressions_gcos_lpm.doc,1713,doc,archive only,other archive material
Stata/agent_regressions_gcos_lpm.txt,611,txt,archive only,other archive material
Stata/agent_regressions_st.doc,2050,doc,archive only,other archive material
Stata/agent_regressions_st.txt,686,txt,archive only,other archive material
Stata/agent_regressions_tests.doc,3664,doc,archive only,other archive material
Stata/agent_regressions_tests.txt,1469,txt,archive only,other archive material
Stata/agent_regressions_tests_lpm.doc,2607,doc,archive only,other archive material
Stata/agent_regressions_tests_lpm.txt,1097,txt,archive only,other archive material
Stata/agent_regressions_tests_unbounded.doc,1581,doc,archive only,other archive material
Stata/agent_regressions_tests_unbounded.txt,699,txt,archive only,other archive material
Stata/backup/merged_treatment_control.dta,57419,dta,archive only,data or experiment output
Stata/bootstrap.xlsx,2569,xlsx,archive only,data or experiment output
Stata/clustse_rated.tex,2229,tex,archive only,other archive material
Stata/clustse_rating.tex,1471,tex,archive only,other archive material
Stata/cumul_exp1.pdf,16144,pdf,archive only,other archive material
Stata/cumul_exp2.pdf,16686,pdf,archive only,other archive material
Stata/data_for_kolmogorov_smirnov_old_unusable.xlsx,70361,xlsx,archive only,data or experiment output
Stata/deduction_points.eps,17306,eps,archive only,other archive material
Stata/do/2015.04.17.do,2058,do,archive only,legacy exploratory Stata code
Stata/do/2015.04.20.do,10713,do,archive only,legacy exploratory Stata code
Stata/do/2015.04.21.do,2480,do,archive only,legacy exploratory Stata code
Stata/do/2015.04.22.do,963,do,archive only,legacy exploratory Stata code
Stata/do/2015.04.23.do,27779,do,archive only,legacy exploratory Stata code
Stata/do/2015.04.25.do,6852,do,archive only,legacy exploratory Stata code
Stata/do/2015.04.27.do,1678,do,archive only,legacy exploratory Stata code
Stata/do/2015.05.13.do,6722,do,archive only,legacy exploratory Stata code
Stata/do/2015.05.14.do,3810,do,archive only,legacy exploratory Stata code
Stata/do/2015.05.15.do,3743,do,archive only,legacy exploratory Stata code
Stata/do/2015.05.19.do,1838,do,archive only,legacy exploratory Stata code
Stata/do/2015.05.20.do,3727,do,archive only,legacy exploratory Stata code
Stata/do/Untitled.dta,42116,dta,archive only,data or experiment output
Stata/do/agent_regression_gcos.do,1920,do,archive only,legacy exploratory Stata code
Stata/do/agent_regressions.do,1689,do,archive only,legacy exploratory Stata code
Stata/do/agent_regressions_outreg.do,1989,do,archive only,legacy exploratory Stata code
Stata/do/agent_regressions_outreg_mergedkf_ziegel.do,1999,do,archive only,legacy exploratory Stata code
Stata/do/alpha.do,668,do,archive only,legacy exploratory Stata code
Stata/do/bar_graph_intervals.do,472,do,archive only,legacy exploratory Stata code
Stata/do/bhl_kf_ziegel.do,4796,do,archive only,legacy exploratory Stata code
Stata/do/bootstrap_means.do,362,do,archive only,legacy exploratory Stata code
Stata/do/cumul_transdif.do,783,do,archive only,legacy exploratory Stata code
Stata/do/cumulative_distributions.do,1499,do,archive only,legacy exploratory Stata code
Stata/do/cumulative_distributions_egen.do,905,do,archive only,legacy exploratory Stata code
Stata/do/fishers_tests_tabulate.do,1205,do,archive only,legacy exploratory Stata code
Stata/do/gcos_categories_barchar.do,439,do,archive only,legacy exploratory Stata code
Stata/do/gcos_sum.do,251,do,archive only,legacy exploratory Stata code
Stata/do/general_causality_variables.do,1377,do,archive only,legacy exploratory Stata code
