Experiment,Location,Treatment,Session,Pair,Subject,Role,x_C,x_NC,x_actual,Payoff,,,,
PSZ2,LabTrento,C10,PSZ2_C10_1,8,PSZ2_C10_1_16,Agent,12,12,12,108,,,,
PSZ2,LabTrento,C10,PSZ2_C10_1,9,PSZ2_C10_1_18,Agent,35,40,35,85,,,,
PSZ2,LabTrento,C10,PSZ2_C10_1,10,PSZ2_C10_1_20,Agent,11,3,3,117,,,,
PSZ2,LabTrento,C10,PSZ2_C10_2,1,PSZ2_C10_2_1,Principal,NA,NA,NA,24,,,,
PSZ2,LabTrento,C10,PSZ2_C10_2,2,PSZ2_C10_2_3,Principal,NA,NA,NA,20,,,,
PSZ2,LabTrento,C10,PSZ2_C10_2,3,PSZ2_C10_2_5,Principal,NA,NA,NA,24,,,,
PSZ2,LabTrento,C10,PSZ2_C10_2,4,PSZ2_C10_2_7,Principal,NA,NA,NA,22,,,,
PSZ2,LabTrento,C10,PSZ2_C10_2,5,PSZ2_C10_2_9,Principal,NA,NA,NA,20,,,,
PSZ2,LabTrento,C10,PSZ2_C10_2,6,PSZ2_C10_2_11,Principal,NA,NA,NA,20,,,,
PSZ2,LabTrento,C10,PSZ2_C10_2,7,PSZ2_C10_2_13,Principal,NA,NA,NA,22,,,,
PSZ2,LabTrento,C10,PSZ2_C10_2,8,PSZ2_C10_2_15,Principal,NA,NA,NA,0,,,,
PSZ2,LabTrento,C10,PSZ2_C10_2,9,PSZ2_C10_2_17,Principal,NA,NA,NA,40,,,,
PSZ2,LabTrento,C10,PSZ2_C10_2,10,PSZ2_C10_2_19,Principal,NA,NA,NA,20,,,,
PSZ2,LabTrento,C10,PSZ2_C10_2,1,PSZ2_C10_2_2,Agent,12,12,12,108,,,,
PSZ2,LabTrento,C10,PSZ2_C10_2,2,PSZ2_C10_2_4,Agent,10,0,10,110,,,,
PSZ2,LabTrento,C10,PSZ2_C10_2,3,PSZ2_C10_2_6,Agent,12,5,12,108,,,,
PSZ2,LabTrento,C10,PSZ2_C10_2,4,PSZ2_C10_2_8,Agent,11,6,11,109,,,,
PSZ2,LabTrento,C10,PSZ2_C10_2,5,PSZ2_C10_2_10,Agent,10,0,10,110,,,,
PSZ2,LabTrento,C10,PSZ2_C10_2,6,PSZ2_C10_2_12,Agent,10,0,10,110,,,,
PSZ2,LabTrento,C10,PSZ2_C10_2,7,PSZ2_C10_2_14,Agent,11,0,11,109,,,,
PSZ2,LabTrento,C10,PSZ2_C10_2,8,PSZ2_C10_2_16,Agent,10,0,0,120,,,,
PSZ2,LabTrento,C10,PSZ2_C10_2,9,PSZ2_C10_2_18,Agent,20,20,20,100,,,,
PSZ2,LabTrento,C10,PSZ2_C10_2,10,PSZ2_C10_2_20,Agent,10,0,10,110,,,,
PSZ2,LabTrento,C10,PSZ2_C10_3,1,PSZ2_C10_3_1,Principal,NA,NA,NA,0,,,,
PSZ2,LabTrento,C10,PSZ2_C10_3,2,PSZ2_C10_3_3,Principal,NA,NA,NA,24,,,,
PSZ2,LabTrento,C10,PSZ2_C10_3,3,PSZ2_C10_3_5,Principal,NA,NA,NA,40,,,,
PSZ2,LabTrento,C10,PSZ2_C10_3,4,PSZ2_C10_3_7,Principal,NA,NA,NA,20,,,,
PSZ2,LabTrento,C10,PSZ2_C10_3,5,PSZ2_C10_3_9,Principal,NA,NA,NA,20,,,,
PSZ2,LabTrento,C10,PSZ2_C10_3,6,PSZ2_C10_3_11,Principal,NA,NA,NA,30,,,,
PSZ2,LabTrento,C10,PSZ2_C10_3,7,PSZ2_C10_3_13,Principal,NA,NA,NA,0,,,,
PSZ2,LabTrento,C10,PSZ2_C10_3,8,PSZ2_C10_3_15,Principal,NA,NA,NA,20,,,,
PSZ2,LabTrento,C10,PSZ2_C10_3,9,PSZ2_C10_3_17,Principal,NA,NA,NA,0,,,,
PSZ2,LabTrento,C10,PSZ2_C10_3,10,PSZ2_C10_3_19,Principal,NA,NA,NA,20,,,,
PSZ2,LabTrento,C10,PSZ2_C10_3,1,PSZ2_C10_3_2,Agent,10,0,0,120,,,,
PSZ2,LabTrento,C10,PSZ2_C10_3,2,PSZ2_C10_3_4,Agent,10,12,12,108,,,,
PSZ2,LabTrento,C10,PSZ2_C10_3,3,PSZ2_C10_3_6,Agent,20,20,20,100,,,,
PSZ2,LabTrento,C10,PSZ2_C10_3,4,PSZ2_C10_3_8,Agent,10,20,10,110,,,,
PSZ2,LabTrento,C10,PSZ2_C10_3,5,PSZ2_C10_3_10,Agent,10,0,10,110,,,,
PSZ2,LabTrento,C10,PSZ2_C10_3,6,PSZ2_C10_3_12,Agent,15,25,15,105,,,,
PSZ2,LabTrento,C10,PSZ2_C10_3,7,PSZ2_C10_3_14,Agent,10,0,0,120,,,,
PSZ2,LabTrento,C10,PSZ2_C10_3,8,PSZ2_C10_3_16,Agent,10,10,10,110,,,,
PSZ2,LabTrento,C10,PSZ2_C10_3,9,PSZ2_C10_3_18,Agent,10,0,0,120,,,,
PSZ2,LabTrento,C10,PSZ2_C10_3,10,PSZ2_C10_3_20,Agent,10,0,10,110,,,,
SV,LabMannheim,C10,SV_C10_1,1,SV_C10_1_4,Agent,10,0,10,110,,,,
SV,LabMannheim,C10,SV_C10_1,3,SV_C10_1_10,Agent,20,20,20,100,,,,
SV,LabMannheim,C10,SV_C10_1,5,SV_C10_1_9,Agent,40,40,40,80,,,,
SV,LabMannheim,C10,SV_C10_1,6,SV_C10_1_2,Agent,20,30,20,100,,,,
SV,LabMannheim,C10,SV_C10_1,7,SV_C10_1_8,Agent,10,20,10,110,,,,
SV,LabMannheim,C10,SV_C10_1,9,SV_C10_1_6,Agent,20,30,20,100,,,,
SV,LabMannheim,C10,SV_C10_2,1,SV_C10_2_4,Agent,40,40,40,80,,,,
SV,LabMannheim,C10,SV_C10_2,2,SV_C10_2_18,Agent,15,20,15,105,,,,
SV,LabMannheim,C10,SV_C10_2,3,SV_C10_2_10,Agent,10,20,10,110,,,,
SV,LabMannheim,C10,SV_C10_2,4,SV_C10_2_5,Agent,10,1,1,119,,,,
SV,LabMannheim,C10,SV_C10_2,5,SV_C10_2_9,Agent,10,40,40,80,,,,
SV,LabMannheim,C10,SV_C10_2,6,SV_C10_2_2,Agent,10,1,10,110,,,,
SV,LabMannheim,C10,SV_C10_2,7,SV_C10_2_8,Agent,39,40,39,81,,,,
SV,LabMannheim,C10,SV_C10_2,8,SV_C10_2_20,Agent,10,0,10,110,,,,
SV,LabMannheim,C10,SV_C10_2,9,SV_C10_2_6,Agent,10,0,0,120,,,,
SV,LabMannheim,C10,SV_C10_2,10,SV_C10_2_16,Agent,17,20,17,103,,,,
SV,LabMannheim,C10,SV_C10_3,1,SV_C10_3_4,Agent,10,0,0,120,,,,
SV,LabMannheim,C10,SV_C10_3,3,SV_C10_3_10,Agent,10,5,5,115,,,,
SV,LabMannheim,C10,SV_C10_3,4,SV_C10_3_5,Agent,20,25,20,100,,,,
SV,LabMannheim,C10,SV_C10_3,5,SV_C10_3_9,Agent,10,0,10,110,,,,
SV,LabMannheim,C10,SV_C10_3,6,SV_C10_3_2,Agent,10,0,0,120,,,,
SV,LabMannheim,C10,SV_C10_3,7,SV_C10_3_8,Agent,20,20,20,100,,,,
SV,LabMannheim,C10,SV_C10_3,8,SV_C10_3_20,Agent,10,10,10,110,,,,
SV,LabMannheim,C10,SV_C10_3,9,SV_C10_3_6,Agent,10,0,10,110,,,,
SV,LabMannheim,C10,SV_C10_3,10,SV_C10_3_16,Agent,20,25,20,100,,,,
SV,LabMannheim,C10,SV_C10_4,1,SV_C10_4_4,Agent,10,0,0,120,,,,
SV,LabMannheim,C10,SV_C10_4,3,SV_C10_4_10,Agent,120,120,120,0,,,,
SV,LabMannheim,C10,SV_C10_4,4,SV_C10_4_5,Agent,10,0,10,110,,,,
SV,LabMannheim,C10,SV_C10_4,5,SV_C10_4_9,Agent,10,0,10,110,,,,
SV,LabMannheim,C10,SV_C10_4,6,SV_C10_4_2,Agent,10,11,11,109,,,,
SV,LabMannheim,C10,SV_C10_4,7,SV_C10_4_8,Agent,10,0,10,110,,,,
SV,LabMannheim,C10,SV_C10_4,8,SV_C10_4_20,Agent,20,40,20,100,,,,
SV,LabMannheim,C10,SV_C10_4,9,SV_C10_4_6,Agent,10,10,10,110,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
FK,LabZurich,C10,NA,NA,NA,Principal,NA,NA,NA,NA,,,,
